id,country
0028jgx1x1,NDF
0028jgx1x1,US
0028jgx1x1,other
0028jgx1x1,IT
0028jgx1x1,ES
002qnbzfs5,US
002qnbzfs5,NDF
002qnbzfs5,FR
002qnbzfs5,other
002qnbzfs5,ES
0035hobuyj,US
0035hobuyj,NDF
0035hobuyj,FR
0035hobuyj,other
0035hobuyj,DE
00389675gq,NDF
00389675gq,US
00389675gq,other
00389675gq,FR
00389675gq,ES
006mls2sjw,NDF
006mls2sjw,US
006mls2sjw,ES
006mls2sjw,other
006mls2sjw,GB
006t3vhawl,US
006t3vhawl,NDF
006t3vhawl,IT
006t3vhawl,GB
006t3vhawl,other
007gj7kqdk,NDF
007gj7kqdk,US
007gj7kqdk,other
007gj7kqdk,FR
007gj7kqdk,IT
00e4nxhdvv,NDF
00e4nxhdvv,US
00e4nxhdvv,other
00e4nxhdvv,CA
00e4nxhdvv,FR
00e8bokexa,NDF
00e8bokexa,US
00e8bokexa,other
00e8bokexa,GB
00e8bokexa,CA
00gnokb79e,NDF
00gnokb79e,US
00gnokb79e,other
00gnokb79e,FR
00gnokb79e,GB
00hy2p1zsj,NDF
00hy2p1zsj,US
00hy2p1zsj,other
00hy2p1zsj,IT
00hy2p1zsj,FR
00imb14nx5,NDF
00imb14nx5,US
00imb14nx5,IT
00imb14nx5,FR
00imb14nx5,ES
00ljwkmboz,NDF
00ljwkmboz,US
00ljwkmboz,IT
00ljwkmboz,other
00ljwkmboz,FR
00m6r72cz5,NDF
00m6r72cz5,US
00m6r72cz5,other
00m6r72cz5,ES
00m6r72cz5,FR
00mxgl4bmi,NDF
00mxgl4bmi,US
00mxgl4bmi,other
00mxgl4bmi,CA
00mxgl4bmi,IT
00nd20ya9v,NDF
00nd20ya9v,US
00nd20ya9v,other
00nd20ya9v,IT
00nd20ya9v,ES
00pnmrr9y4,NDF
00pnmrr9y4,US
00pnmrr9y4,CA
00pnmrr9y4,other
00pnmrr9y4,ES
00qhpquukc,NDF
00qhpquukc,US
00qhpquukc,CA
00qhpquukc,other
00qhpquukc,FR
00smy0z227,NDF
00smy0z227,US
00smy0z227,other
00smy0z227,FR
00smy0z227,GB
0159z3qxdu,NDF
0159z3qxdu,US
0159z3qxdu,other
0159z3qxdu,ES
0159z3qxdu,FR
